r,5
s,4
n,960
m1,384
m2,480
453,538,743,767,824,
403,567,622,745,769,
404,568,746,770,839,
405,484,747,771,821,
408,448,677,728,772,
424,679,831,840,860,
427,576,787,858,895,
428,550,764,841,857,
435,547,811,825,841,
437,842,848,869,883,
439,445,820,843,882,
442,555,801,862,883,
443,615,676,772,876,
446,844,863,884,914,
447,534,586,799,838,
478,671,845,864,885,
480,758,783,805,832,
481,846,865,866,875,
485,544,822,840,856,
495,699,790,814,886,
710,769,773,847,915,
711,768,770,848,916,
721,771,849,868,887,
627,698,774,791,815,
634,775,850,857,888,
635,776,851,855,889,
636,777,852,890,895,
633,685,780,789,844,
571,756,763,781,853,
757,782,834,854,891,
551,556,759,762,855,
524,588,784,845,892,
785,842,850,858,893,
575,786,843,894,917,
788,793,839,896,918,
614,684,693,859,912,
525,570,755,846,861,
554,800,892,897,907,
566,690,813,881,886,
572,582,884,898,919,
578,695,861,874,902,
583,899,909,910,930,
584,713,910,920,937,
585,675,726,798,872,
612,667,712,901,908,
613,796,900,911,921,
617,807,901,912,913,
620,686,885,897,905,
621,687,766,862,899,
748,795,826,860,927,
665,729,767,900,903,
856,863,894,904,922,
694,864,873,903,923,
715,866,898,924,938,
749,806,816,906,935,
714,722,920,925,939,
718,817,908,915,928,
724,926,933,934,938,
725,828,919,934,940,
750,871,918,932,941,
752,878,927,935,936,
753,808,921,923,931,
754,809,859,902,926,
847,870,887,907,947,
905,909,924,929,942,
818,896,911,916,943,
830,913,925,944,954,
849,877,882,932,952,
829,833,914,940,945,
835,889,939,949,951,
836,946,949,950,954,
837,888,937,951,955,
852,917,947,952,953,
853,879,906,928,946,
854,880,941,943,948,
931,933,942,944,956,
891,904,936,945,957,
890,893,930,955,958,
948,950,956,957,959,
922,929,953,958,959,
0,2,5,8,
0,1,10,14,
1,3,16,21,
2,4,6,22,
3,6,24,25,
4,7,26,33,
5,9,11,34,
7,11,37,38,
8,12,18,49,
9,13,39,50,
10,15,17,51,
12,17,55,56,
13,18,53,57,
14,19,28,71,
15,20,58,72,
16,23,27,73,
19,27,78,79,
20,28,76,80,
21,29,42,97,
22,30,43,98,
23,31,81,99,
24,32,61,100,
25,35,40,101,
26,36,41,102,
29,40,109,111,
30,41,110,112,
31,42,105,113,
32,43,106,114,
33,44,62,139,
34,45,63,140,
35,46,115,141,
36,47,116,142,
37,48,85,143,
38,52,59,144,
39,54,60,145,
44,59,155,157,
45,60,156,158,
46,61,108,159,
47,62,150,160,
48,63,151,161,
49,64,86,194,
50,65,87,195,
51,66,88,196,
52,67,162,197,
53,68,121,198,
54,69,163,199,
55,70,120,200,
56,74,82,201,
57,75,83,202,
58,77,84,203,
64,82,216,219,
65,83,217,220,
66,84,218,221,
67,85,154,222,
68,86,209,223,
69,87,210,224,
70,88,211,225,
71,89,122,140,
72,90,123,267,
73,91,124,268,
74,92,226,269,
75,93,227,270,
76,94,171,271,
77,95,228,272,
78,96,170,273,
79,103,117,274,
80,104,118,275,
81,107,119,276,
89,117,188,290,
90,118,291,293,
91,119,292,294,
92,120,215,295,
93,121,213,296,
94,122,230,297,
95,123,284,298,
96,124,285,299,
97,125,172,196,
98,126,173,194,
99,127,174,348,
100,128,175,268,
101,129,139,176,
102,130,177,349,
103,131,300,350,
104,132,301,351,
105,133,238,352,
106,134,239,353,
107,135,302,354,
108,136,303,355,
109,137,236,356,
110,138,237,357,
111,146,164,358,
112,147,165,359,
113,148,166,360,
114,149,167,361,
115,152,168,362,
116,153,169,343,
125,164,259,380,
126,165,257,381,
127,166,382,386,
128,167,339,383,
129,168,187,384,
130,169,385,387,
131,170,289,388,
132,171,288,389,
133,172,306,390,
134,173,304,391,
135,174,371,392,
136,175,372,393,
137,176,229,394,
138,177,373,395,
141,178,240,458,
142,179,241,459,
143,180,242,349,
144,181,195,243,
145,182,244,460,
146,183,396,461,
147,184,397,462,
148,185,398,463,
149,186,399,464,
150,187,316,465,
151,188,317,363,
152,189,400,466,
153,190,228,313,
154,191,401,467,
155,192,314,468,
156,193,315,469,
157,204,229,470,
158,205,230,471,
159,206,231,472,
160,207,232,473,
161,208,233,474,
162,212,234,475,
163,214,235,449,
178,231,500,505,
179,232,501,506,
180,233,444,502,
181,234,258,503,
182,235,504,507,
183,236,378,508,
184,237,379,509,
185,238,376,510,
186,239,377,511,
189,240,489,512,
190,241,490,513,
191,242,491,514,
192,243,305,515,
193,244,492,516,
197,245,318,590,
198,246,319,460,
199,247,320,591,
200,202,248,250,
201,249,267,321,
203,251,322,592,
204,252,517,593,
205,253,518,594,
206,254,519,595,
207,255,520,596,
208,256,521,597,
209,257,414,477,
210,258,415,598,
211,259,416,476,
212,260,522,599,
213,261,302,410,
214,254,262,303,
215,263,523,600,
216,264,411,601,
217,265,412,602,
218,266,413,603,
219,277,304,604,
220,278,305,605,
221,279,306,606,
222,280,307,607,
223,281,308,608,
224,282,309,609,
225,283,310,610,
226,286,311,587,
227,287,312,611,
245,307,637,643,
246,308,581,638,
247,309,639,644,
248,265,310,640,
249,311,338,641,
250,263,312,642,
251,313,558,645,
252,314,498,646,
253,315,499,647,
255,316,496,648,
256,317,497,649,
260,318,623,650,
261,319,624,651,
262,320,625,652,
264,321,402,653,
266,322,626,654,
269,323,417,730,
270,324,418,731,
271,325,419,592,
272,326,420,732,
273,275,327,329,
274,328,348,421,
276,330,422,733,
277,331,655,734,
278,332,656,735,
279,333,657,736,
280,334,658,737,
281,335,659,738,
282,336,660,739,
283,337,661,740,
284,338,541,741,
285,339,479,542,
286,334,340,401,
287,341,662,742,
288,342,400,537,
289,344,663,691,
290,345,538,743,
291,346,539,717,
292,347,540,564,
293,364,402,744,
294,365,372,683,
295,366,403,745,
296,367,404,746,
297,368,405,747,
298,369,406,704,
299,370,407,560,
300,374,408,728,
301,375,409,696,
323,403,769,773,
324,404,768,770,
325,405,721,771,
326,406,656,761,
327,346,407,515,
328,408,443,772,
329,344,409,503,
330,410,698,774,
331,411,634,775,
332,412,635,776,
333,413,636,777,
335,414,631,778,
336,415,632,779,
337,416,633,780,
340,417,756,781,
341,418,757,782,
342,419,758,783,
343,420,551,759,
345,421,524,784,
347,422,498,760,
350,423,543,649,
351,424,544,840,
352,425,545,733,
353,426,472,546,
354,367,427,787,
355,428,547,841,
356,360,429,433,
357,361,430,434,
358,431,458,548,
359,432,459,549,
362,435,550,841,
363,436,607,689,
364,437,785,842,
365,438,625,720,
366,439,786,843,
368,440,788,793,
369,441,757,834,
370,442,501,801,
371,443,615,682,
373,444,614,684,
374,439,445,523,
375,446,789,844,
376,397,447,534,
377,448,522,677,
378,450,790,814,
379,451,791,815,
380,452,561,673,
381,453,678,824,
382,454,679,831,
383,455,680,702,
384,456,670,706,
385,457,681,707,
386,478,524,845,
387,480,491,805,
388,481,525,846,
389,482,526,594,
390,483,527,565,
391,484,528,821,
392,485,529,822,
393,486,530,708,
394,487,531,700,
395,488,532,701,
396,493,533,559,
398,494,535,804,
399,495,536,699,
423,525,695,861,
424,526,795,860,
425,521,527,630,
426,528,588,784,
427,529,785,858,
428,530,661,764,
429,454,531,653,
430,455,532,640,
431,514,533,579,
432,534,580,838,
433,450,535,641,
434,451,536,642,
435,537,727,811,
436,538,729,767,
437,539,768,848,
438,520,540,629,
440,471,563,591,
441,541,658,765,
442,542,766,862,
445,543,742,820,
446,544,856,863,
447,545,709,799,
448,546,676,772,
449,547,692,825,
452,502,548,664,
453,549,665,767,
456,550,634,857,
457,551,635,855,
461,552,685,780,
462,553,618,778,
463,554,686,897,
464,555,687,862,
465,556,688,759,
466,482,557,648,
467,559,690,881,
468,473,560,564,
469,474,561,565,
470,562,577,590,
475,566,691,881,
476,567,745,812,
477,568,746,810,
478,569,864,873,
479,570,846,865,
480,571,756,832,
481,572,866,898,
483,499,573,867,
484,574,771,868,
485,575,856,894,
486,576,636,895,
487,577,638,792,
488,578,639,874,
489,579,716,803,
490,580,741,804,
492,581,749,806,
493,572,582,663,
494,583,621,899,
495,584,713,790,
496,518,585,675,
497,586,662,799,
500,588,800,892,
504,589,802,812,
505,612,664,712,
506,613,665,900,
507,615,624,876,
