t,m,ell,a1,a2,a3,b1,b2,b3,emb_m,emb_ell,aa,bb,p_phys,p_mask,no_test,no_success,p_log,d,k,adv
10,6,30,21,1,2,0,17,4,6,30,2,3,0.005,0.1333333333333333,10001,9709,0.9708029197080292,12,8,0.5467545669744187
10,6,30,21,1,2,0,17,4,6,30,3,0,0.005,0.1333333333333333,10001,9695,0.9694030596940306,12,8,0.5005973453059414
10,6,30,21,1,2,0,17,4,6,30,3,1,0.005,0.1,10001,9775,0.9774022597740226,12,8,0.5802248404212437
10,6,30,21,1,2,0,17,4,6,30,3,3,0.005,0.1333333333333333,10001,9703,0.9702029797020298,12,8,0.5440919730908229
10,6,30,21,1,2,3,1,5,30,6,4,4,0.005,0.2,10001,9538,0.9537046295370464,12,8,0.5117565164045235
10,6,30,21,1,2,3,1,5,30,6,4,5,0.005,0.2,10001,9513,0.9512048795120488,12,8,0.5106521894310339
10,6,30,21,1,2,3,1,5,30,6,5,5,0.005,0.2333333333333333,10001,9391,0.939006099390061,12,8,0.45961285256864004
10,6,30,21,1,2,5,6,25,30,6,4,4,0.005,0.1666666666666666,10001,9653,0.9652034796520348,18,8,0.5260163514849553
10,6,30,21,1,2,5,6,25,30,6,4,5,0.005,0.1666666666666666,10001,9630,0.962903709629037,18,8,0.5219167884323733
10,6,30,21,1,2,5,6,25,30,6,5,4,0.005,0.1666666666666666,10001,9629,0.9628037196280372,18,8,0.5204978183965888
10,6,30,21,1,2,5,6,25,30,6,5,5,0.005,0.1666666666666666,10001,9633,0.9632036796320368,18,8,0.5161816472770457
10,6,30,21,2,1,5,18,25,6,30,2,2,0.005,0.2,10001,9515,0.9514048595140486,24,8,0.4854600916696323
10,6,30,21,2,1,5,18,25,6,30,2,3,0.005,0.2,10001,9532,0.9531046895310468,24,8,0.48560605324087114
10,6,30,21,2,1,5,18,25,6,30,3,2,0.005,0.2,10001,9555,0.9554044595540446,24,8,0.48195091506453946
10,6,30,21,2,1,5,18,25,6,30,3,3,0.005,0.2,10001,9544,0.9543045695430457,24,8,0.48203222446529087
10,6,30,21,4,5,0,19,14,30,6,4,2,0.005,0.2,10001,9538,0.9537046295370464,12,8,0.5117565164045234
10,6,30,21,4,5,0,19,14,30,6,4,3,0.005,0.2,10001,9538,0.9537046295370464,12,8,0.5106521894310339
10,6,30,21,4,5,3,23,7,6,30,2,0,0.005,0.1,10001,9795,0.9794020597940206,12,8,0.5812773948885623
10,6,30,21,4,5,3,23,7,6,30,2,1,0.005,0.1333333333333333,10001,9697,0.9696030396960305,12,8,0.5016022900611334
10,6,30,21,4,5,3,23,7,6,30,2,5,0.005,0.1333333333333333,10001,9672,0.9671032896710328,12,8,0.5467545669744186
10,6,30,21,4,5,3,23,7,6,30,3,0,0.005,0.1,10001,9744,0.9743025697430256,12,8,0.5802248404212436
10,6,30,21,4,5,3,23,7,6,30,3,1,0.005,0.1333333333333333,10001,9677,0.9676032396760323,12,8,0.5005973453059417
10,6,30,21,4,5,3,23,7,6,30,3,5,0.005,0.1333333333333333,10001,9671,0.967003299670033,12,8,0.5440919730908227
10,6,30,21,4,5,3,5,7,6,30,2,4,0.005,0.1666666666666666,10001,9624,0.9623037696230377,20,8,0.49448673860851866
10,6,30,21,4,5,3,5,7,6,30,2,5,0.005,0.1666666666666666,10001,9603,0.9602039796020398,20,8,0.4927316279556056
10,6,30,21,4,5,3,5,7,6,30,3,4,0.005,0.1666666666666666,10001,9572,0.9571042895710428,20,8,0.49482826573481575
10,6,30,21,4,5,3,5,7,6,30,3,5,0.005,0.1666666666666666,10001,9601,0.96000399960004,20,8,0.4930803135734349
10,6,30,21,5,4,1,23,0,6,30,2,0,0.005,0.1,10001,9770,0.9769023097690231,12,8,0.5866734987548206
10,6,30,21,5,4,1,23,0,6,30,2,1,0.005,0.1333333333333333,10001,9704,0.9703029697030296,12,8,0.5079415340778429
10,6,30,21,5,4,1,23,0,6,30,2,2,0.005,0.1333333333333333,10001,9759,0.9758024197580242,12,8,0.5107099559145101
10,6,30,21,5,4,1,23,0,6,30,2,3,0.005,0.1,10001,9779,0.9778022197780222,12,8,0.5896056370689641
10,6,30,21,5,4,1,23,0,6,30,3,0,0.005,0.1,10001,9776,0.9775022497750224,12,8,0.5896056370689642
10,6,30,21,5,4,1,23,0,6,30,3,1,0.005,0.1333333333333333,10001,9729,0.9728027197280272,12,8,0.51070995591451
10,6,30,21,5,4,1,23,0,6,30,3,2,0.005,0.1333333333333333,10001,9729,0.9728027197280272,12,8,0.5079415340778428
10,6,30,21,5,4,1,23,0,6,30,3,3,0.005,0.1,10001,9757,0.9756024397560245,12,8,0.5866734987548207
10,6,30,21,5,4,3,8,13,6,30,2,4,0.005,0.1666666666666666,10001,9545,0.9544045595440456,20,12,0.5108737010583895
10,6,30,21,5,4,3,8,13,6,30,2,5,0.005,0.1666666666666666,10001,9589,0.9588041195880412,20,12,0.5127122292644739
